,CentroSuministrador,Periodo,MesPeriodo,IdPeriodo,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
408,Ancud,2016,1,2016-01-01,1.0942710022523323,14.76522469225384,17.546051135368366,12.44350854593152,6.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,8.285358437084392,2.4386492371718558,22.0,11.333333333333334,0.0,0.0,9.432143748184055,11.613820112137399,17.546051135368362,17.546051135368366,0.0,0.0
409,Chimbarongo-Santiago,2016,1,2016-01-01,0.4085870994436601,22.06395206245625,17.546051135368366,12.44350854593152,2.0,0.0,11.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,3.6201737790790536,1.7660423449513585,9.666666666666666,5.666666666666667,2.3333333333333335,0.0,11.235609711995423,17.190113233737858,17.546051135368362,17.546051135368366,0.0,3.0
410,Frutillar,2016,1,2016-01-01,1.020231583220861,17.079169164352752,17.546051135368366,12.44350854593152,6.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,8.682480575831319,2.315351547652701,22.0,13.0,1.6666666666666667,0.0,7.769434786004372,11.913976638539182,17.546051135368362,17.546051135368366,0.0,0.0
411,Futrono,2016,1,2016-01-01,1.4080032525783934,17.35038382505086,17.546051135368366,12.44350854593152,3.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,11.050359364665075,2.4285955753631687,20.0,9.666666666666666,0.0,0.0,8.968585165814126,12.626535360179403,17.546051135368362,17.546051135368366,0.0,0.0
412,Los Lagos,2016,1,2016-01-01,1.235773875463963,18.329061854428765,17.546051135368366,12.44350854593152,6.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,9.929496185254221,2.3586634155249353,20.333333333333332,10.333333333333334,2.0,0.0,8.487635589235,12.849451717362575,17.546051135368362,17.546051135368366,0.0,0.0
413,Los Muermos,2016,1,2016-01-01,1.1334077809373935,10.55921647211896,22.624191484038633,16.53554326784722,5.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.443508545931522,12.544660504645714,7.508504658332139,2.4716429707056116,22.0,12.333333333333334,3.0,0.3333333333333333,7.537571057255086,9.195296393434893,17.546051135368362,16.722486616635873,0.0,0.0
414,Los Ángeles,2016,1,2016-01-01,0.5164851247106319,21.010600220625022,17.546051135368366,12.44350854593152,2.0,0.0,8.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,12.44350854593152,12.44350854593152,6.916454100842927,1.656387828962617,14.333333333333334,7.0,1.0,0.0,9.703985678472668,15.203343535919393,17.546051135368362,17.546051135368366,0.0,1.0
415,Máfil,2016,1,2016-01-01,1.3583391299417342,12.203240685787474,23.414508292089735,17.70780156277795,6.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,8.515477191164818,12.619059382992683,10.18891997231386,2.936573272117306,19.666666666666668,10.333333333333334,1.3333333333333333,0.0,4.989231306584519,7.582003932313364,11.387731280691469,17.08107374141575,0.0,0.0
416,Octay,2016,1,2016-01-01,1.0202315832208613,11.556131768366294,22.70277645627034,17.079169164352752,6.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,7.769434786004372,11.913976638539182,8.68248057583132,2.315351547652701,22.0,13.0,1.6666666666666667,0.0,4.352196484851407,7.244119615468702,10.072897207245267,15.71253656181309,0.0,0.0
417,Osorno,2016,1,2016-01-01,1.0711862480223846,11.324449895780464,23.596836863406796,17.399438889156603,5.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,7.790239272019586,11.939871560770138,8.624799785716858,2.491707437367196,21.666666666666668,11.0,3.0,0.0,4.134151889007588,6.924991019792213,10.503696602239168,16.31000788896941,0.0,0.0
418,Panguipulli,2016,1,2016-01-01,1.7898732291145718,11.625113849338081,23.331170340637087,17.486308736969804,8.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,7.782682569912491,12.340343626228568,12.932206601551528,4.08694846019515,20.666666666666668,12.0,3.0,0.3333333333333333,4.078823729465452,6.937552887326991,10.766125381268898,17.023387186007483,0.0,0.0
419,Puerto Montt,2016,1,2016-01-01,1.2727355830846452,12.232872289425243,21.087835621731365,16.598729959250743,7.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,8.275320954415198,12.254472262229546,9.322286107469976,3.2714381906721233,22.333333333333332,13.666666666666666,0.0,0.0,5.142464330624537,8.08916999980453,10.044977722870911,15.34132332561869,0.0,0.0
420,Puerto Varas,2016,1,2016-01-01,1.2727355830846452,12.232872289425243,21.087835621731365,16.598729959250743,7.0,0.0,0.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,8.275320954415198,12.254472262229546,9.322286107469976,3.2714381906721233,22.333333333333332,13.666666666666666,0.0,0.0,5.142464330624537,8.08916999980453,10.044977722870911,15.34132332561869,0.0,0.0
421,Purranque,2016,1,2016-01-01,1.0102190060878364,11.370925111350433,23.973858899352486,17.604431019463046,6.0,0.0,1.0,721.948,0.5,5.9,2.3,6298.083333333333,723.0,6220.283333333333,6255.952777777778,798.3333333333334,770.0,7.6679546474024205,11.96231832312796,8.443085004248859,2.1752261388903227,21.0,11.333333333333334,4.0,0.3333333333333333,3.9068077844018894,6.853562575708762,10.437809271571922,16.323079971586967,0.0,0.0
