,IdMaterial,MesPeriodo,IdPeriodo,Periodo,IdCeSum,CentroSuministrador,CtdadUMBase,UMBase,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
28472,10000048,7,2017-07-01,2017,D220,Purranque,75.0,UN  ,3.832083702644633,2.918537576515509,9.638516202178447,6.335441849282453,15.0,8.0,0.0,658.171428571429,0.2,7.2,2.0,6237.75,778.0,6167.8611111111095,6118.944444444445,762.6666666666666,776.0,15.332712210100013,9.444462886120862,2.191428030345101,6.220814333865282,7.0,17.0,0.0,2.333333333333333,10.46139312019408,6.032500839940613,20.913522703967967,12.842331532581625,0.3333333333333333,0.0
28473,10000048,8,2017-08-01,2017,D220,Purranque,0.0,UN  ,11.50501664432333,4.029339073180767,9.65742090900454,7.402205868219928,25.0,1.0,0.0,644.241818181818,0.2,6.9,1.6,6118.875,773.0,6168.25,6151.25,772.6666666666666,773.3333333333334,14.061845523382544,7.446694764916408,2.6192769952275703,6.461657133287428,9.333333333333334,17.0,0.0,5.0,9.743720876477536,4.174927313988791,19.351977640086943,10.478034882263325,0.0,0.0
28474,10000048,9,2017-09-01,2017,D220,Purranque,0.0,UN  ,4.851177482024244,3.088099039107574,11.220912828116989,7.400278203278556,16.0,3.0,0.0,625.541578947369,-0.2,7.0,1.0,6037.333333333333,788.0,6144.652777777777,6144.819444444445,770.6666666666666,775.6666666666666,11.371684935823293,6.990272352470491,4.043368091883747,7.994789807453912,12.333333333333334,20.33333333333333,1.0,4.333333333333333,7.559581914221591,3.67349189065368,15.887402518971587,9.62982464310018,0.0,0.0
28475,10000048,10,2017-10-01,2017,D220,Purranque,0.0,UN  ,6.348894682422249,5.59798721002472,12.64146991597154,9.618711498269304,20.0,0.0,0.0,629.5465,0.6,7.0,2.1,6107.583333333333,788.0,6118.944444444445,6131.319444444444,776.0,779.6666666666666,9.444462886120862,7.045975306926979,6.220814333865281,6.729425942997403,17.0,18.666666666666668,2.333333333333333,4.0,6.032500839940613,3.3453252296012828,12.842331532581625,10.17228331309999,0.0,0.0
28476,10000048,11,2017-11-01,2017,D220,Purranque,192.0,UN  ,1.4145328159136594,6.705558825356354,15.99118622255996,11.727902402520677,9.0,0.0,0.0,633.767619047619,0.1,6.7,2.8,6212.583333333333,782.0,6151.25,6087.930555555556,773.3333333333334,783.0,7.446694764916408,8.14039852325593,6.461657133287427,7.568362936256608,17.0,20.33333333333333,5.0,1.3333333333333333,4.17492731398879,4.238475107437687,10.478034882263325,11.173267884364355,0.0,0.0
28477,10000048,12,2017-12-01,2017,D220,Purranque,786.0,UN  ,2.072153951849709,9.529052397437129,18.962396229516152,14.27821410736888,10.0,0.0,0.0,636.923684210526,0.1,6.5,2.0,6037.458333333333,767.0,6144.819444444444,6119.166666666667,775.6666666666666,786.0,6.990272352470488,9.582297368022845,7.994789807453912,4.204868326786718,20.33333333333333,15.0,4.333333333333333,1.0,3.673491890653679,5.130548358162883,9.62982464310018,13.284522988882827,0.0,0.0
28478,10000048,1,2018-01-01,2018,D220,Purranque,121.0,UN  ,1.2423570905521517,10.377773138376464,21.106418698384616,15.444606926574862,6.0,0.0,0.0,605.528636363636,0.5,6.8,3.8,6254.083333333333,788.0,6131.319444444446,6119.208333333333,779.6666666666666,779.0,7.045975306926981,11.874942669386286,6.729425942997402,3.2785271500618727,18.666666666666668,13.0,4.0,0.0,3.345325229601281,7.277532810939402,10.17228331309999,15.865017456015885,0.0,0.0
28479,10000048,2,2018-02-01,2018,D220,Purranque,0.0,UN  ,0.5580243211737071,11.242399270223856,23.594017494153565,16.5753558912004,4.0,0.0,0.0,596.839,0.0,7.0,3.4,6227.875,793.0,6087.9305555555575,6168.041666666667,783.0,779.0,8.14039852325593,13.816907812154804,7.568362936256608,1.57634795277184,20.33333333333333,8.333333333333334,1.3333333333333333,0.0,4.238475107437689,8.870794787056647,11.17326788436436,18.686667050153577,0.0,0.0
28480,10000048,3,2018-03-01,2018,D220,Purranque,11.0,UN  ,5.088876014827364,8.67390112352586,17.5235300462667,12.889127371867604,13.0,0.0,0.0,603.445238095238,0.2,7.4,2.9,6239.416666666667,801.0,6119.166666666668,6173.138888888888,786.0,782.6666666666666,9.582297368022848,15.432725641714711,4.204868326786717,1.290845121191856,15.0,6.666666666666667,1.0,0.0,5.130548358162884,10.383074935345816,13.284522988882832,21.22094414068478,0.0,0.0
28481,10000048,4,2018-04-01,2018,D220,Purranque,0.0,UN  ,4.539543933600749,6.085998895780884,14.350073030511462,9.811319502646269,13.0,0.0,0.0,600.547619047619,0.3,7.0,6.7,6119.125,809.0,6119.208333333333,6240.458333333333,779.0,794.0,11.874942669386288,14.969696729880951,3.278527150061872,2.296419142184408,13.0,7.666666666666667,0.0,0.0,7.277532810939401,10.098024510708727,15.865017456015885,20.741322079601627,0.0,0.0
28482,10000048,5,2018-05-01,2018,D220,Purranque,0.0,UN  ,4.931930137058642,5.9561605891382525,12.563599677457248,9.027961614218132,17.0,0.0,0.0,626.119047619048,0.3,7.4,4.2,6173.416666666667,794.0,6168.041666666664,6195.472222222223,779.0,801.0,13.81690781215481,13.091934255238092,1.5763479527718396,3.395481423200607,8.333333333333334,10.0,0.0,0.0,8.87079478705665,8.6674330965102,18.686667050153574,18.489206856977244,0.0,0.0
